Actual_X,Actual_Y,Predicted_Y
"['p', 'y', 'r', 'i', 'a']","['प', 'ा', 'इ', 'र', 'ि', 'य', 'ा']","['प', 'ा', 'इ', 'र', 'ि', 'य', 'ा']"
"['h', 'a', 'n', 'k', 'a', 'c', 'h', 'a', 'r', 'a', 'a', 'c', 'h', 'a', 'a', 'r', 'y', 'a']","['ं', 'क', 'च', 'र', 'ा', 'च', 'ा', 'र', '्', 'य']","['ं', 'क', 'च', 'ा', 'र', 'ा', 'च', 'ा', 'र', '्', 'य']"
"['m', 'a', 'h', 'a', 'p', 'a', 't', 'r', 'a']","['म', 'ह', 'ा', 'प', 'ा', 'त', '्', 'र', 'ा']","['म', 'ह', 'ा', 'प', 'त', '्', 'र']"
"['p', 'r', 'o', 'p', 'e', 'r', 'p', 'h', 'a', 'e', 'b', 'u', 'k']","['प', '्', 'र', 'ॉ', 'प', 'र', 'फ', 'े', 'स', 'ब', 'ु', 'क']","['प', '्', 'र', 'ो', 'प', 'े', 'र', '्', 'थ', 'स', 'े', 'ब', 'ु', 'क']"
"['n', 'i', 'r', 'b', 'a', 'a', 'd', 'h']","['न', 'ि', 'र', '्', 'ब', 'ा', 'ध']","['न', 'ि', 'र', '्', 'ब', 'ा', 'ध']"
"['n', 'i', 'w', 'a', 'r', 't', 'h']","['न', 'ि', 'स', '्', 'व', 'ा', 'र', '्', 'थ']","['न', 'ि', 'स', '्', 'व', 'ा', 'र', '्', 'थ']"
"['d', 'a', 'm', 'p', 'a', 't', 'i', 'y', 'o', 'n']","['द', 'ं', 'प', 'त', 'ि', 'य', 'ो', 'ं']","['द', 'म', '्', 'प', 'त', 'ि', 'य', 'ो', 'ं']"
"['m', 'a', 'r', 'r', 'i', 'a', 'g', 'e']","['म', 'ै', 'र', 'े', 'ज']","['म', 'ै', 'र', 'ि', 'य', 'ा', 'ग']"
"['p', 'i', 't', 'y', 'o', 'o', 'n', 'i', 'y', 'a']","['प', 'ि', 'ट', '्', 'य', 'ू', 'न', 'ि', 'य', 'ा']","['प', 'ि', 'त', '्', 'य', 'ू', 'न', 'ी']"
"['l', 'a', 'b', 'e', 'l', 'o', 'n']","['ल', 'े', 'ब', 'ल', 'ो', 'ं']","['ल', 'े', 'ब', 'ल', 'ो', 'ं']"
"['l', 'e', 'a', 'r', 'n']","['ल', 'र', '्', 'न']","['ल', 'ि', 'य', 'र', 'न']"
"['w', 'a', 'r', 'n', 'a', 'n', 'k', 'a', 'r', 't', 'a', 'a', 'o', 'n']","['व', 'र', '्', 'ण', 'न', 'क', 'र', '्', 'त', 'ा', 'ओ', 'ं']","['व', 'र', '्', 'ण', 'ा', 'ं', 'क', 'र', '्', 'त', 'ा', 'ओ', 'ं']"
"['c', 'o', 'n', 't', 'r', 'a', 'c', 't', 'i', 'n', 'g']","['क', 'ॉ', 'न', '्', 'ट', '्', 'र', 'े', 'क', '्', 'ट', 'ि', 'ं', 'ग']","['क', 'ॉ', 'न', '्', 'ट', '्', 'र', 'ै', 'क', '्', 'ट', 'ि', 'ं', 'ग']"
"['k', 'h', 'a', 'r', 'e']","['ख', 'र', 'े']","['ख', 'र', 'े']"
"['g', 'a', 'm', 'm', 'a', 't']","['ग', 'म', '्', 'म', 'त']","['ग', 'म', '्', 'म', 'त']"
"['m', 'u', 'l', 'c', 'h', 'a', 'n', 'd']","['म', 'ू', 'ल', 'च', 'ं', 'द']","['म', 'ु', 'ल', 'च', 'ं', 'द']"
"['u', 'd', 'a', 'a', 'n', 'o', 'n']","['उ', 'ड', '़', 'ा', 'न', 'ो', 'ं']","['उ', 'ड', 'ा', 'न', 'ो', 'ं']"
"['u', 'r', 'v', 'a', 'r', 't', 'a']","['उ', 'र', '्', 'व', 'र', 'त', 'ा']","['उ', 'र', '्', 'व', 'र', 'त', 'ा']"
"['a', 'u', 'n', 'p', 'e', 'n', 'g', 'i']","['स', 'ौ', 'ं', 'प', 'े', 'ं', 'ग', 'ी']","['स', 'ौ', 'न', 'प', 'े', 'ं', 'ग', 'ी']"
"['t', 'u', 'g', 'l', 'a', 'k', 'a', 'b', 'a', 'd']","['त', 'ु', 'ग', 'ल', 'क', 'ा', 'ब', 'ा', 'द']","['त', 'ु', 'ग', 'ल', 'ा', 'क', 'ा', 'ब', 'ा', 'द']"
"['t', 'e', 't', 'i', 'n', 'g']","['ट', 'े', 'स', '्', 'ट', 'ि', 'ं', 'ग']","['ट', 'े', 'स', '्', 'ट', 'ि', 'ं', 'ग']"
"['l', 'a', 'a', 'l', 'a', 'p', 'a', 'r', 'e', 'e']","['ल', 'ा', 'ल', 'प', 'र', 'ी']","['ल', 'ा', 'ल', 'ा', 'प', 'ी', 'र']"
"['k', 'h', 'e', 'd', 'a']","['ख', 'े', 'ड', '़', 'ा']","['ख', 'े', 'ड', 'ा']"
"['m', 'o', 'l', 'd']","['म', 'ो', 'ल', '्', 'ड']","['म', 'ो', 'ल', '्', 'ड']"
"['a', 'w', 'a', 'l']","['स', 'व', 'ा', 'ल']","['स', 'व', 'ल']"
"['a', 'n', 'v', 'a', 'a', 'h', 'a', 'a', 'r', 'y', 'a']","['अ', 'न', '्', 'व', 'ा', 'ह', 'ा', 'र', '्', 'य']","['अ', 'न', 'व', 'ा', 'ह', 'र', '्', 'य']"
"['g', 'r', 'a', 'h', 'a', 'm']","['ग', '्', 'र', 'ा', 'ह', 'म']","['ग', '्', 'र', 'ह', 'म']"
"['e', 'd', 'u', 'c', 'a', 't', 'i', 'o', 'n']","['ए', 'ज', 'ु', 'क', 'े', 'न']","['ए', 'ड', 'ु', 'क', 'े', 'न']"
"['g', 'h', 'o', 'n', 't', 'a', 'n', 'a', 'a']","['घ', 'ो', 'ं', 'ट', 'न', 'ा']","['घ', 'ो', 'ं', 'ट', 'न', 'ा']"
"['b', 'i', 'e', 'e', 'e']","['ब', 'ी', 'ए', 'स', 'ए', 'स', 'ए', 'स']","['ब', 'ा', 'इ', 'स', 'े', 'स']"
"['b', 'a', 'r', 'h', 'e', 'e', 'y']","['ब', 'र', '्', 'ष', 'ी', 'य']","['ब', 'र', 'ी', 'य']"
"['t', 'r', 'i', 'y', 'a']","['त', '्', 'र', 'ि', 'य', 'ा']","['त', '्', 'र', 'ि', 'य', 'ा']"
"['a', 'w', 'y', 'e', 'r']","['स', 'ॉ', 'य', 'र']","['स', 'ा', 'व', 'े', 'र']"
"['y', 'u', 'u', 'g', 'i']","['य', 'ु', 'स', 'ू', 'ग', 'ी']","['य', 'ु', 'स', 'ु', 'ग', 'ी']"
"['d', 'a', 'f', 't', 'a', 'r', 'v', 'a', 'a', 'l', 'e']","['द', 'फ', '्', 'त', 'र', 'व', 'ा', 'ल', 'े']","['द', 'फ', '्', 'त', 'र', 'व', 'ा', 'ल', 'े']"
"['m', 'a', 'n', 'n', 'e', 'r']","['म', 'ै', 'न', 'र']","['म', 'न', '्', 'न', 'र']"
"['u', 'p', 'a', 'c', 'h', 'y', 'e']","['स', 'ु', 'प', 'ा', 'च', '्', 'य']","['स', 'ु', 'प', 'च', '्', 'य', 'े']"
"['b', 'o', 'u', 'n', 'i']","['ब', 'ौ', 'न', 'ी']","['ब', 'ौ', 'न', 'ी']"
"['b', 'a', 'y', 't', 'o', 'w', 'n']","['ब', 'ै', 'ट', 'ा', 'उ', 'न']","['ब', 'े', 'य', 'ट', 'व', 'ा', 'न']"
"['b', 'a', 'k', 'e', 'r']","['ब', 'े', 'क', 'र']","['ब', 'ै', 'क', 'र']"
"['a', 'r', 't', 'h', 'h', 'a', 'a', 't', 'r', 'i', 'y', 'o', 'n']","['अ', 'र', '्', 'थ', 'ा', 'स', '्', 'त', '्', 'र', 'ी', 'य', 'ो', 'ं']","['अ', 'र', '्', 'थ', 'ा', 'स', '्', 'त', '्', 'र', 'ि', 'य', 'ो', 'ं']"
"['p', 'a', 'a', 'l', 'a', 'a', 'a', 'h', 'e', 'e']","['प', 'ा', 'ल', 'स', 'ा', 'ह', 'ी']","['प', 'ा', 'ल', 'स', 'ा', 'ह', 'ी']"
"['u', 'h', 'a', 'n', 'u', 'b', 'h', 'o', 'o', 't', 'i']","['स', 'ु', 'ह', 'ा', 'न', 'ु', 'भ', 'ू', 'त', 'ि']","['स', 'ु', 'ह', 'ा', 'न', 'ु', 'भ', 'ू', 'त', 'ि']"
"['n', 'a', 'g', 'm', 'a', 'n', 'd', 'a', 'l']","['न', 'ा', 'ग', 'म', 'ण', '्', 'ड', 'ल']","['न', 'ा', 'ग', 'म', 'ण', '्', 'ड', 'ल']"
"['f', 'r', 'a', 'n', 'c', 'i', 'k', 'a']","['फ', '्', 'र', 'ा', 'ं', 'स', 'ि', 'स', '्', 'क', 'ा']","['फ', '्', 'र', 'ै', 'ं', 'स', 'ि', 'क', 'स', 'ा']"
"['u', 'r', 'a', 'j']","['स', 'ू', 'र', 'ज']","['स', 'ु', 'र', 'ा', 'ज']"
"['r', 'a', 'd', 'i', 'c', 'o']","['र', 'े', 'ड', 'ि', 'क', 'ो']","['र', 'े', 'ड', 'ि', 'क', 'ो']"
"['n', 'a', 'r', 'a', 'n', 'h', 'a', 'r', 'o', 'n']","['न', 'र', 'स', 'ं', 'ह', 'ा', 'र', 'ो', 'ं']","['न', 'र', 'स', 'ं', 'ह', 'र', 'ो', 'ं']"
"['k', 'h', 'a', 'a', 'y', 'a', 'l']","['क', '़', 'ा', 'य', 'ल']","['ख', 'ा', 'य', 'ल']"
"['d', 'i', 'g', 'v', 'i', 'j', 'a', 'y']","['द', 'ि', 'ग', '्', 'व', 'ि', 'ज', 'य']","['ड', 'ि', 'ग', '्', 'व', 'ि', 'ज', 'य']"
"['h', 'a', 'l', 'c', 'h', 'a', 'l']","['ह', 'ा', 'ल', 'च', 'ा', 'ल']","['ह', 'ा', 'ल', 'च', 'ल']"
"['t', 'h', 'a', 'n', 'v', 'i']","['थ', 'ा', 'न', 'व', 'ी']","['थ', 'ा', 'न', 'व', 'ी']"
"['c', 'h', 'h', 'a', 'r', 'h', 'a', 'r', 'i']","['छ', 'र', 'ह', 'र', 'ी']","['छ', 'र', 'ह', 'र', 'ी']"
"['n', 'a', 'v', 'a', 'a']","['न', 'व', 'ा']","['न', 'व', 'ा']"
"['h', 'a', 'a', 'n', 'a', 'd', 'h', 'i', 'k', 'a', 'a', 'r', 'i', 'y', 'o', 'n']","['ा', 'स', 'न', 'ा', 'ध', 'ि', 'क', 'ा', 'र', 'ि', 'य', 'ो', 'ं']","['ा', 'स', 'न', 'ा', 'ध', 'ि', 'क', 'ा', 'र', 'ि', 'य', 'ो', 'ं']"
"['b', 'a', 'i', 't', 'o', 'o', 'l']","['ब', 'ै', 'त', 'ू', 'ल']","['ब', 'ै', 'ट', 'ु', 'ल']"
"['p', 'a', 'd', 'a', 'n', 'e', 'e']","['प', 'ड', '़', 'न', 'ी']","['प', 'द', 'न', 'ी']"
"['c', 'h', 'u', 'n', 'e']","['च', 'ु', 'न', 'े']","['च', 'ु', 'न', 'े']"
"['p', 'a', 't', 'k', 'a', 't', 'h', 'a', 'e', 'i', 'n']","['प', 'ट', 'क', 'थ', 'ा', 'ए', 'ं']","['प', 'ट', 'क', 'थ', 'ा', 'ए', 'ं']"
"['d', 'a', 'b', 'l', 'y', 'o', 'o', 'p', 'i', 'd', 'i']","['ड', 'ब', '्', 'ल', '्', 'य', 'ू', 'प', 'ी', 'ड', 'ी']","['ड', 'ा', 'ब', '्', 'ल', 'ि', 'य', 'प', 'प', 'ि', 'ड', 'ी']"
"['m', 'i', 'r', 'a', 'n', 'd', 'a']","['म', 'ि', 'र', 'ा', 'ं', 'ड', 'ा']","['म', 'ि', 'र', 'ं', 'द', 'ा']"
"['p', 'r', 'a', 't', 'i', 'r', 'o', 'd', 'h', 'a', 'a', 't', 'm', 'a', 'k']","['प', '्', 'र', 'त', 'ि', 'र', 'ो', 'ध', 'ा', 'त', '्', 'म', 'क']","['प', '्', 'र', 'त', 'ि', 'र', 'ो', 'ध', 'ा', 'त', '्', 'म', 'क']"
"['v', 'a', 'i', 'd', 'h', 'r', 'u', 't', 'i']","['व', 'ै', 'ध', 'ृ', 'त', 'ि']","['व', 'ै', 'ध', 'र', 'ू', 'त', 'ि']"
"['b', 'a', 'l', 'e', 'h', 'w', 'a', 'r']","['ब', 'ा', 'ल', 'े', '्', 'व', 'र']","['ब', 'ा', 'ल', 'े', '्', 'व', 'र']"
"['m', 'i', 'o', 'u', 'r', 'i']","['म', 'ि', 'स', 'ौ', 'र', 'ी']","['म', 'ि', 'स', 'ौ', 'र', 'ी']"
"['l', 'e', 'n', 'e', 'v', 'a', 'l', 'i']","['ल', 'े', 'न', 'े', 'व', 'ा', 'ल', 'ी']","['ल', 'े', 'न', 'े', 'व', 'ा', 'ल', 'ी']"
"['m', 'a', 't', 'e']","['म', 'े', 'ट']","['म', 'ा', 'त', 'े']"
"['k', 'h', 'a', 't', 'a', 'k', 't', 'i']","['ख', 'ट', 'क', 'त', 'ी']","['ख', 'ट', 'क', 'त', 'ी']"
"['a', 'm', 'a', 'r', 'g', 'a', 'd']","['अ', 'म', 'र', 'ग', 'ढ', '़']","['अ', 'म', 'ा', 'र', 'ग', 'ड']"
"['b', 'e', 'e', 'e', 'e', 'e']","['ब', 'ी', 'ए', 'स', 'ए', 'स', 'ए', 'स']","['ब', 'ी', 'ज', '़', 'े', 'स']"
"['w', 'i', 'n', 't', 'e', 'r']","['व', 'ि', 'ं', 'ट', 'र']","['व', 'ि', 'ं', 'ट', 'र']"
"['g', 'a', 'd', 'h', 'o', 'o', 'n', 'g', 'a']","['ग', 'ा', 'ड', '़', 'ू', 'ँ', 'ग', 'ा']","['ग', 'ढ', '़', 'ू', 'ँ', 'ग', 'ा']"
"['a', 'n', 'j', 'i', 'v', 'a', 'n']","['स', 'ं', 'ज', 'ी', 'व', 'न']","['स', 'ं', 'ज', 'ी', 'व', 'न']"
"['b', 'h', 'r', 'a', 'a', 'n', 't', 'i', 'y', 'o', 'n']","['भ', '्', 'र', 'ा', 'ं', 'त', 'ि', 'य', 'ो', 'ं']","['भ', '्', 'र', 'ा', 'ं', 'त', 'ि', 'य', 'ो', 'ं']"
"['r', 'a', 'g', 'h', 'u', 'p', 'a', 't', 'i']","['र', 'घ', 'ु', 'प', 'त', 'ि']","['र', 'घ', 'ु', 'प', 'त', 'ि']"
"['b', 'l', 'a', 'c', 'k']","['ब', '्', 'ल', 'ै', 'क']","['ब', '्', 'ल', 'ै', 'क']"
"['b', 'h', 'a', 't', 'n', 'a', 'g', 'a', 'r']","['भ', 'ट', 'न', 'ा', 'ग', 'र']","['भ', 'ट', 'न', 'ग', 'र']"
"['p', 'a', 'k', 'a', 'y', 'e', 'n']","['प', 'क', 'ा', 'ए', 'ं']","['प', 'क', 'ा', 'ए', 'ं']"
"['j', 'a', 't', 'a', 'k', 'o', 'n']","['ज', 'ा', 'त', 'क', 'ो', 'ं']","['ज', 'ा', 'ट', 'क', 'ो', 'ं']"
"['a', 'n', 'd', 'h', 'a', 'p', 'a', 'n']","['अ', 'ं', 'ध', 'ा', 'प', 'न']","['अ', 'ं', 'ध', 'प', 'न']"
"['h', 'o', 'g', 'a', 'a', 'h']","['ह', 'ो', 'ग', 'ा', 'ः']","['ह', 'ो', 'ग', 'ा', 'ह']"
"['f', 'a', 'a', 'r', 'e', 'n', 'i']","['फ', 'ा', 'र', 'े', 'ं', 'स', 'ि', 'स']","['फ', 'ा', 'र', 'े', 'ं', 'स', 'ि', 'स']"
"['k', 'i', 'a', 'g', 'o', 'i']","['क', 'ि', 'स', '्', 'स', 'ा', 'ग', 'ो', 'ई']","['क', 'ि', 'स', '्', 'स', 'ो', 'ग', 'ई']"
"['n', 'y', 'u', 't', 'r', 'i', 'y', 'o']","['न', '्', 'य', 'ू', 'ट', '्', 'र', 'ि', 'य', 'ो']","['न', '्', 'य', 'ु', 'त', '्', 'र', 'ि', 'य', 'ो']"
"['g', 'r', 'a', 'h', 'a', 'n', 'k', 'a', 'a', 'l']","['ग', '्', 'र', 'ह', 'ण', 'क', 'ा', 'ल']","['ग', '्', 'र', 'ा', 'ह', 'क', 'ा', 'ल']"
"['c', 'h', 'i', 'n', 'm', 'a', 'n', 'i']","['च', 'ि', 'न', 'म', 'ण', 'ि']","['च', 'ि', 'न', 'म', 'न', 'ी']"
"['o', 'o', 'c', 'h', 'n', 'a', 'a', 'h']","['स', 'ू', 'च', 'न', 'ा', 'ः']","['स', 'ू', 'च', 'न', 'ा', 'ह']"
"['m', 'a', 'l', 'e', 'k', 'a', 'r']","['म', 'ा', 'ल', 'े', 'क', 'र']","['म', 'ा', 'ल', 'े', 'क', 'र']"
"['a', 't', 'w', 'a', 'a', 'l']","['अ', 'ट', 'व', 'ा', 'ल']","['अ', 'ट', 'व', 'ा', 'ल']"
"['e', 't', 'o']","['स', 'े', 'ट', 'ो']","['स', 'े', 'ट', 'ो']"
"['o', 't', 'o']","['स', 'ो', 'ट', 'ो']","['स', 'ो', 'ट', 'ो']"
"['b', 'a', 'd', 'h', 'a', 'a', 't', 'i']","['ब', 'ढ', '़', 'ा', 'त', 'ी']","['ब', 'ढ', '़', 'ा', 'त', 'ी']"
"['j', 'a', 'l', 'a', 'g', 'a', 't', 'i']","['ज', 'ल', 'ग', 'त', 'ि']","['ज', 'ल', 'ग', 'त', 'ी']"
"['a', 'd', 'a', 'q', 'e', 'n']","['स', 'ड', 'क', '़', 'े', 'ं']","['स', 'ड', '़', 'क', 'े', 'ं']"
"['k', 'u', 'c', 'h', 'c', 'h', 'h']","['क', 'ु', 'च', '्', 'छ']","['क', 'ु', 'च', '्', 'छ']"
"['g', 'u', 'd', 'e', 'p', 'u']","['ग', 'ु', 'ड', 'े', 'प', 'ु']","['ग', 'ु', 'ड', 'े', 'प', 'ु']"
"['a', 'p', 'a', 't', 'e']","['स', 'प', 'ा', 'ट', 'े']","['स', 'प', 'त', 'े']"
"['j', 'a', 'a', 't', 'a', 'k']","['ज', 'ा', 'त', 'क']","['ज', 'ा', 'क', 'ट']"
"['a', 'a', 't', 'm', 'a', 'm', 'u', 'g', 'd', 'h', 'a']","['आ', 'त', '्', 'म', 'म', 'ु', 'ग', '्', 'ध']","['आ', 'त', '्', 'म', 'म', 'ु', 'ग', '्', 'ध']"
"['v', 'e', 'r', 'h', 'a', 'n']","['व', 'र', '्', 'न']","['व', 'र', 'ा', 'न']"
"['w', 'e', 'e', 'k']","['व', 'ी', 'क', '्', 'स']","['व', 'ी', 'क', '्', 'स']"
"['a', 'a', 't', 'e', 'r', 'a', 'a']","['स', 'ा', 'त', 'स', 'े', 'र', 'ा']","['स', 'ा', 'त', '्', 'स', 'े', 'र', 'ा']"
"['p', 'r', 'e', 'm', 'a', 'm', 'o', 'o', 'l', 'a', 'k']","['प', '्', 'र', 'े', 'म', 'म', 'ू', 'ल', 'क']","['प', '्', 'र', 'े', 'म', 'ा', 'म', 'ू', 'ल', 'क']"
"['a', 'n', 'a', 'n', 'd', 'd', 'a', 'a', 'y', 'a', 'k']","['आ', 'न', 'ं', 'द', 'द', 'ा', 'य', 'क']","['आ', 'न', 'ं', 'द', 'द', 'ा', 'य', 'क']"
"['m', 'e', 'r', 't', 'a']","['म', 'े', 'ड', '़', 'त', 'ा']","['म', 'र', 'र', 'ा']"
"['w', 'e', 'b', 'b']","['व', 'े', 'ब']","['व', 'े', 'ब', '्', 'ब']"
"['c', 'e', 'r', 'e', 'b', 'r', 'a']","['स', 'े', 'र', 'े', 'ब', '्', 'र', 'ा']","['स', 'ी', 'र', 'े', 'ब', '्', 'र', 'ा']"
"['c', 'o', 'l', 'u', 'm', 'b', 'i', 'a']","['क', 'ो', 'ल', 'ं', 'ब', 'ि', 'य', 'ा']","['क', 'ॉ', 'ल', '्', '्', '्', 'ब', 'ि', 'य', 'ा']"
"['b', 'h', 'o', 'l', 'a']","['भ', 'ो', 'ल', 'ा']","['भ', 'ो', 'ल', 'ा']"
"['b', 'a', 'n', 'g', 'b', 'a', 'n', 'd', 'h', 'u']","['ब', 'ं', 'ग', 'ब', 'ं', 'ध', 'ु']","['ब', 'ं', 'ग', 'ब', 'ं', 'ध', 'ु']"
"['u', 'n', 'i', 'o', 'n', 'w', 'a', 'a', 'd', 'i']","['य', 'ू', 'न', 'ि', 'य', 'न', 'व', 'ा', 'द', 'ी']","['उ', 'न', 'ि', 'य', 'न', 'व', 'ा', 'ड', '़', 'ी']"
"['r', 'a', 'a', 'j', 'n', 'e', 'e', 'c', 'h', 'i']","['र', 'ा', 'ज', 'न', 'ी', 'च', 'ि']","['र', 'ा', 'ज', 'न', 'ी', 'च', 'ी']"
"['n', 'e', 'e', 'l', 'a', 'a', 'b', 'h']","['न', 'ी', 'ल', 'ा', 'भ']","['न', 'ी', 'ल', 'ा', 'भ']"
"['a', 'h', 'a', 'r', 'a']","['स', 'ह', 'र', 'स', 'ा']","['स', 'ह', 'र', 'स', 'ा']"
"['m', 'u', 'i', 'c']","['म', '्', 'य', 'ू', 'ज', 'ि', 'क']","['म', 'ु', 'स', 'ि', 'क']"
"['m', 'e', 'g', 'a']","['म', 'े', 'ग', 'ा']","['म', 'े', 'ग', 'ा']"
"['c', 'a', 'm', 'a', 'r', 'i', 'l', 'l', 'o']","['क', 'ै', 'म', 'े', 'र', 'ि', 'ल', 'ो']","['क', 'ै', 'म', 'ा', 'र', 'ि', 'ल', 'ो']"
"['b', 'h', 'a', 'v', 'a', 'b', 'h', 'i', 'v', 'y', 'a', 'k', 't', 'i', 'y', 'o', 'n']","['भ', 'ा', 'व', 'ा', 'भ', 'ि', 'व', '्', 'य', 'क', '्', 'त', 'ि', 'य', 'ो', 'ं']","['भ', 'व', 'भ', 'ि', 'व', 'ि', 'क', 'य', 'य', '्', '्', '्', 'य', 'ो', 'ं']"
"['u', 'p', 'y', 'o', 'g', 'i', 't', 'a', 'w', 'a', 'd', 'i', 'y', 'o', 'n']","['उ', 'प', 'य', 'ो', 'ग', 'ि', 'त', 'ा', 'व', 'ा', 'द', 'ि', 'य', 'ो', 'ं']","['उ', 'प', '्', 'य', 'ो', 'ग', 'त', 'ि', 'व', 'ा', 'द', 'ा', 'य', 'ो', 'ं']"
"['p', 'f']","['ए', 'स', 'प', 'ी', 'ए', 'फ']","['ए', 'स', 'प', 'ी', 'ए', 'फ']"
"['d', 'a', 'v', 'i', 'n', 'd', 'a', 'r', 'p', 'a', 'a', 'l']","['द', 'व', 'ि', 'न', '्', 'द', 'र', 'प', 'ा', 'ल']","['द', 'व', 'ि', 'ं', 'द', 'र', 'र', 'ा', 'ल']"
"['m', 'a', 'a', 'd', 'h', 'e', 'e', 'k', 'h', 'e', 'd', 'h', 'a', 'a']","['म', 'ा', 'ड', '़', 'ी', 'ख', 'े', 'ड', '़', 'ा']","['म', 'ा', 'ध', 'े', 'ख', 'ख', '़', 'ा']"
